Date	Price	Open	High	Low	Vol.	Change %
01/03/2021	13,105.20	12,950.22	13,113.09	12,537.42	1.10B	1.68%
12/27/2020	12,888.28	12,813.97	12,925.53	12,747.05	596.03M	1.39%
12/20/2020	12,711.01	12,575.60	12,761.23	12,474.03	611.70M	-0.21%
12/13/2020	12,738.18	12,427.86	12,793.47	12,426.25	1.45B	2.93%
12/06/2020	12,375.41	12,523.57	12,651.35	12,226.13	918.90M	-1.22%
11/29/2020	12,528.48	12,278.78	12,538.92	12,090.93	1.11B	2.20%
11/22/2020	12,258.21	11,959.89	12,306.71	11,817.53	667.16M	2.95%
11/15/2020	11,906.44	11,925.36	12,047.13	11,842.67	980.97M	-0.26%
11/08/2020	11,937.84	12,194.71	12,268.66	11,512.46	1.12B	-1.27%
11/01/2020	12,091.35	11,152.48	12,117.04	10,957.11	1.04B	9.39%
10/25/2020	11,052.95	11,584.17	11,708.08	10,960.02	1.09B	-5.47%
10/18/2020	11,692.57	11,913.01	11,962.46	11,529.73	821.08M	-1.35%
10/11/2020	11,852.17	11,900.12	12,204.75	11,765.49	963.47M	1.08%
10/04/2020	11,725.85	11,345.24	11,727.60	11,256.26	857.22M	4.18%
09/27/2020	11,255.69	11,332.32	11,606.73	11,225.17	1.04B	0.94%
09/20/2020	11,151.13	10,768.01	11,207.08	10,677.85	1.17B	1.96%
09/13/2020	10,936.98	11,250.80	11,495.40	10,769.39	1.48B	-1.36%
09/06/2020	11,087.40	11,143.91	11,566.34	10,945.22	1.08B	-4.60%
08/30/2020	11,622.13	12,017.46	12,439.48	11,145.99	1.52B	-3.12%
08/23/2020	11,995.86	11,703.34	12,047.99	11,535.55	862.75M	3.81%
08/16/2020	11,555.16	11,231.97	11,574.79	11,228.14	820.26M	3.50%
08/09/2020	11,164.45	11,153.51	11,271.22	10,855.06	854.47M	0.22%
08/02/2020	11,139.39	11,018.02	11,282.24	10,997.67	874.96M	2.14%
07/26/2020	10,905.88	10,547.11	10,908.34	10,527.43	995.27M	4.03%
07/19/2020	10,483.13	10,672.96	11,017.43	10,313.94	998.67M	-1.52%
07/12/2020	10,645.22	10,951.54	11,069.26	10,370.79	945.53M	-1.76%
07/05/2020	10,836.33	10,487.70	10,842.78	10,485.82	844.61M	4.78%
06/28/2020	10,341.89	9,850.54	10,432.55	9,742.89	741.54M	5.00%
06/21/2020	9,849.36	10,009.00	10,306.90	9,837.74	1.18B	-1.59%
06/14/2020	10,008.64	9,517.14	10,121.67	9,489.58	1.32B	3.57%
06/07/2020	9,663.78	9,805.69	10,155.20	9,499.09	1.17B	-1.63%
05/31/2020	9,824.39	9,526.43	9,846.63	9,511.88	1.04B	2.81%
05/24/2020	9,555.53	9,570.53	9,573.55	9,182.45	1.01B	1.50%
05/17/2020	9,413.99	9,281.36	9,515.05	9,248.78	921.05M	2.86%
05/10/2020	9,152.64	9,155.21	9,354.45	8,860.77	1.06B	-0.73%
05/03/2020	9,220.35	8,683.94	9,224.49	8,665.40	869.15M	5.76%
04/26/2020	8,718.18	8,865.58	9,025.82	8,668.67	1.14B	-0.78%
04/19/2020	8,786.60	8,742.54	8,855.18	8,359.84	1.05B	-0.52%
04/12/2020	8,832.41	8,209.68	8,879.24	8,158.58	1.18B	7.21%
04/05/2020	8,238.53	7,819.06	8,334.23	7,763.09	1.09B	9.44%
03/29/2020	7,528.11	7,678.83	8,011.60	7,423.97	1.30B	-0.79%
03/22/2020	7,588.37	6,952.71	7,913.11	6,771.91	1.72B	8.49%
03/15/2020	6,994.29	7,502.26	7,563.45	6,837.53	2.16B	-12.52%
03/08/2020	7,995.26	7,912.14	8,376.44	7,255.62	1.91B	-6.27%
03/01/2020	8,530.34	8,569.91	9,000.46	8,319.90	1.53B	0.81%
02/23/2020	8,461.83	9,055.30	9,194.91	8,133.85	1.63B	-10.43%
02/16/2020	9,446.69	9,567.28	9,736.57	9,406.38	662.19M	-1.84%
02/09/2020	9,623.58	9,373.20	9,636.41	9,373.20	780.58M	2.37%
02/02/2020	9,401.10	9,033.52	9,453.24	9,031.07	896.13M	4.56%
01/26/2020	8,991.51	8,913.16	9,170.22	8,910.97	923.52M	-1.64%
01/19/2020	9,141.47	9,145.64	9,272.37	9,101.44	700.84M	-0.35%
01/12/2020	9,173.73	9,007.94	9,176.47	8,991.35	775.57M	2.31%
01/05/2020	8,966.64	8,713.89	9,024.87	8,713.89	743.27M	1.96%
